name,score,time,comment
千秋指白头,1,2019-07-21 02:44:10,不是做的不好不是不用心恰恰相反我一看到宣传的第二天就去观影了本人对哪吒这个人物的感情区别于其他所有的动漫人物我从小爱读封神演义自诩为是看着神的故事长大的人哪吒最重要象征着对父权挑战忤逆的精神在这部动画里面被阉割的干干净净太乙真人永远站在哪吒这边无原则帮他对抗父母原则天庭做好身后事的仙风道骨之人被丑化成一个骑着猪说着四川话的胖子先说明我不歧视胖子我自己就是胖子但这里的太乙分明就是丑角如果说cp是哪吒和太乙我愿意嗑太乙之于哪吒那比秦五爷对依萍还要好啊要星星不给月亮你只管干出了事我给你兜在这个电影里他仿佛一个丑陋搞笑的班主任罢了至于敖丙呵呵一个被哪吒随手打死的富二代有什么资格和他组cp总的来说对于本片我并不失望我只是愤怒
刘小流,5,2019-07-13 19:12:00,看到顶着黑眼圈要吃人肉的哪吒出来感觉就全对了大家都知道颠覆好看可多数颠覆改编问题在于颠覆之后又要束手束脚到最后干脆成了反颠覆本片中成了魔童的哪吒到最后同样没办法颠覆到底但本片优秀在角色的转变遵循着最质朴的感情线它是哪吒在人群中艰难的自我认知也是哪吒父子的若即若离它完全像极了多数父子关系模式中的对抗理解与守护让哪吒只是想不怂地活出个人样便也不用到最后对人群不会消散的偏见选择性装瞎更不用去印证百姓值得守护这气质真不多见
theemo,2,2019-07-18 15:52:09,还行十五岁以下的可以看看
张小北,5,2019-07-28 00:10:19,这是导演的动画长片处女作啊
吉尔伽美什,5,2019-07-19 21:14:42,说烂片预订那大叔动漫非得拍给小孩看你不接受设定别代表大家还有哪吒啥货色但绝不是你想的那种设定好好多读书再回去好好琢磨下封神观后吹爆这片今年最佳国漫
寒枝雀静,4,2019-07-18 21:56:37,C相比被盛赞的剧本反倒是视觉形象的建构比较出乎我意料莲火毽子鳞片红莲的意象联结贯穿了全片自细微琐屑至宏大奇观完成了完整回环而又颇具想象力的体系剧本其实有点过于依赖孩童人设一方面助益了影片暗黑而又诙谐的混搭基调另一方面也遮蔽了部分剧作上的仓促甚至让人物的成长显得不够充分比如控制的习得只是如此简单的事情吗导演对叙事时间的理解可能有些粗糙连高潮戏一条线到一半时间停顿切到另一条线这样破坏节奏的小瑕疵都好几处至于大量不合时宜的笑料让它们融入叙事的办法只有一个就是添加让这些异类同样受到压抑的细节而不是大大落落地丢包袱
吃货乌贼娘,2,2019-07-19 15:29:41,丑魔童就得是丧尸脸吗
小时候可牛B了,2,2019-07-19 16:49:25,专属中国的另类超级英雄吧故事改编太大我一般无法接受我的原则是这么喜欢改编为什么不自己原创一个剧本说到底还是剧本不够硬想蹭别人的ip
初悴,2,2019-07-19 12:03:28,感觉无论从美术还是配乐都和白蛇缘起与大鱼海棠差远了那个太乙真人肥头猪脑还一股子方言味儿结局还是经典的中国式动漫强行大团圆结局故事情节不算差但表现的真的很低龄化很多人吹说它是目前国漫的巅峰我觉得太过了太过了不配真的
LORENZO洛伦佐,4,2019-07-27 00:28:14,几个小缺点娘炮那个梗用得有点太多了后面就烦了结尾大战有些拖沓段子堆得有些太密集了导致最后情绪有点破碎其他都很好比大圣好可能是这几年最好的国产动画李靖太可以了吧
三藏法师,1,2019-07-25 18:08:08,现在上映一部国产动画就是神作个个都是神作
Clio,3,2019-07-21 22:12:15,陈塘关的百姓跪谢哪吒的时候没有意识到要是没哪吒和敖丙这俩小兔崽子它陈塘关也万万不会遭此大劫
摩羯座的猫,1,2019-07-19 22:35:29,没有哪吒的灵性更像是红孩儿叛逆我不喜欢段子的台词我也不喜欢国漫强大的宣传认真讲故事没做到这就不是好的电影包袱太多实质太少光线出品一贯宣传手法刷好的口碑补贴首日票房
地平线的旧火车,2,2019-07-21 14:51:05,国产动画区真是最分裂的一个区很多人一边叫着动漫不是低幼作品一边为片子里的低幼笑话鼓掌哪咤这个形象看你想怎么塑造是反抗封建礼教的悲剧英雄还是奉行封建礼教才能带来好果的教材导演看来选了后者
danyboy,4,2019-07-28 01:13:54,刨去了哪吒自杀还父的情节就抽去了哪吒故事的灵魂我只能说这是另一个故事我只能说这个新的关于青春期的故事讲的不错舞美画工形象设计都好但这是一部拍给80后的电影为人父母的80后很爱看吧养过利维坦式宝宝的80后很爱看吧熟悉周星驰式喜剧的80后很爱看吧把自己代入到李靖夫妇而非哪吒和敖丙的80后们很爱看吧你们一定很爱看因为你们已经不再是曾经那个哪吒而是守着工资的总兵咯一言以蔽之这不是哪吒的故事但不妨碍是另一个讲的还算不错的故事片尾曲的歌也不错值得票价就是我全程到目前都醉着
你大豪爷,5,2019-07-23 22:33:21,哪吒就是那种看完了刷评论压根不会点开差评去读的片子一定要看IMAX
非相君,3,2019-07-18 22:04:11,一部神话片笑点还靠屎尿屁来撑可气的是我还笑了经典的哪吒是一个反抗权威和父权的形象这部把李靖塑造成一个有爱的父亲于是一部俄狄浦斯式的神话变成一个友善的童话哪吒多会变化术一些笑点是靠变化术制造乾坤圈变成一个类似金箍的限制性法器恭喜你们把哪吒变成第二个悟空
轻点蟹黄鱼有味,3,2019-07-20 11:49:11,1笑点太尬尴尬的方言尴尬的人物设定尴尬的屎尿屁2故事内核老套又是所谓的逆天改命在孙悟空那里用得太多了已经完全没感染力3强行煽情的时候更加尴尬原版中的冤与报复的张力几乎没有了4这个哪吒的形象设计几乎是唯一的亮点加上有些想象和画面特效不错最多三分吧
欢乐分裂,4,2019-07-19 21:30:13,35较多低幼欢脱段子集合的表象并不能掩盖其悲剧的本质越往后越动人在改编原著的基础上文本大刀阔斧地改变走向奉献了一个在国产动画中难得一见具有邪气的魅力角色取下乾坤圈变身一刻堪称全片高光碾压帅气敖丙善与恶水与火在充满偏见定论的二元世界这两个承载了命运错弄的少年最终以我不信命的信念发出天问完满开启封神宇宙十分期待了申公豹和龙族的命运也非常具有意味深长的寓意并为丰富主题的完成提供富含信息量的支线提供
HooChao,1,2019-07-14 15:38:40,戾气太重受不了3头身变身5头身接受不了不建议未成年人看
蒜BOYA,5,2019-07-17 21:56:21,这个夏天一定会爆以大家对大圣大鱼和白蛇的热情这部国漫在完成度上圆满完成期待第一次有了看好莱坞动画的流畅感和毫无尿点以及满满泪点实在太不容易了这次的剧本创作节奏把握主题升华人物设定视觉特效巧妙笑点皆弥补之前的种种短板毫不夸张的说是一部集大成之作期待暑期档刷爆豆瓣和朋友圈
大島,4,2019-07-29 22:08:07,一出生就有黑眼圈的孩子肯定不简单
耿直的减肥少年,2,2019-07-21 11:47:27,现在看来中国会讲故事的导演和编剧一只手都能数的过来中国电影行业现在就是一具大型的行尸走肉一只没有灵魂的资产怪兽
后自愈,4,2019-07-18 23:12:50,中国动画缺的不是技术是故事和讲好故事的能力在故事的完成度之余还有一定的深度最难能可贵的是哪吒是个反传统的英雄他天生反骨叛逆又肩负重任他是不被认同的异类在戏谑的打发愁苦之后迎来最终的爆发切切实实的感动李靖也一直教育儿子哪吒不要在意他人的眼光要做自己想做的人不要轻言放弃包括在生日宴上对儿子说的一番话一个不善言辞却一直包容理解儿子的父亲形象就油然而生了要说教育和父子情吊打隔壁银河补习班
五色全味,3,2019-07-14 19:21:04,很主流的商業動畫把反抗父權忤逆到驚世駭俗的哪吒形象用父子情友情追求自我這些主流主題消解了反抗父權變成了父子情深實在是配合煽情打鬥奇觀場面喜劇段子非常通俗沒什麼深度至少喪失了哪吒這個角色本應有的深度但製作和娛樂性都不錯應該會大賣
马掰掰,3,2019-07-23 11:12:52,前几天看完群情高涨不敢评论故事很不喜欢哪吒在这里面就是我最讨厌的死小孩真不是老百姓偏见怎么把帽子往老百姓头上扣呢敖丙很惨塑造这么个另类的龙族最后还是让他暴走来成全哪吒的人设恶臭十二金仙为什么要给太乙真人明明就是组织里的蛀虫如果真要说偏见那应该是对灵珠和魔丸的偏见元始天尊大傻逼就对了这个故事真的瞎改狗屁不通
南悠一,3,2019-07-24 19:14:31,国产动画两大负面特征台词特别会喊口号一句深刻的也没有噪音杂乱但视觉中心喜欢偏移至于这一部的问题还有笑点让人出戏改编尤其乏力动机不够清晰情节带水拖泥中国人一般不相信人的行为和立场之间会有必然关系当他们设计人物行为时并不会去考虑人物立场是否一致当他们看电影时同样也不会从影像本身判断创作动机
西帕克,4,2019-07-17 22:02:07,哪吒的削骨还父削肉还母被简化成父爱让他找到自我原本故事中的反抗父权也成了对抗世人的眼光他的魔性可能像是科学怪人把小女孩扔入水中只是因为对事物认知的体系不同甚至屠龙的原罪也被略过成了又一部绝代双骄这样的叛逆更加通俗也更加安全也是另一种时代精神吧
孤舟蓑笠翁,1,2019-07-21 06:22:05,这个设定一看就是抄的好兆头预告图片中有一张让小哪吒拉开对方裤子拿手电筒照成年男人的隐私部位这不是恋童癖这一部国产动画太吓人了宣扬形而下的三观还买榜买推荐呵呵好兆头今年5月30号上映抄袭好兆头有小朋友给我发私信抗议解释一下好兆头他妈的有原作GoodOmensGoodOmens作者TerryPratchettNeilGaiman出版社TRANSWORLD出版年19915页数416定价9500元装帧PaperbackISBN9780552137034
路西法尔,2,2019-07-27 21:23:13,一个典型的伪古典主义故事正适合真正古典已经死去的时代所谓正义不过是天庭把持的一套话语而实际上已经没有人再信仰天庭的至高权威龙族对天庭政策已腹诽千年哪吒的悲剧完全源于一个失败的预言和一连串僵化的行政命令但没有人试图修正体制所有人都在帮助天庭秩序自动化运行然后试图偷偷挖点墙角剧中的角色除了一个小朋友几乎没有任何人能向他人打开边界这种片受到时代的欢迎正所谓斯人有斯疾也
曼仔,3,2019-07-27 00:56:27,看完心情有点复杂只能说是雷点萌点兼具吧不是我喜欢的那一款但能看出来质感很好好的地方当然是制作确实是国漫标杆甚至叙事部分也不差是比较娴熟的类型片叙事但我最不满意的地方恰恰就是很多人觉得燃的地方这个片子里的哪吒和传统的哪吒闹海最大的区别就是不再有那种六亲不认的反叛性了而这恰恰是我觉得哪吒这个角色最吸引我的地方是对父权最为彻底最为决绝的反抗甚至比石头里蹦出来的孙悟空还要六亲不认是以自己的血肉之躯为代价获得彻底的自由挣脱一切爱与伦理的锁链但新版哪吒所谓的我命由我不由天完全是另一个故事是网文式的逆天改命好好活不抛弃不放弃做有意义的事原版哪吒是野生摇滚新版哪吒是摇滚人参加中国摇滚三十年研讨会
四万八千岁,2,2019-07-19 19:39:22,配音好出戏反正看20分钟就不想看了
